canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,type,units,value
NC(=O)c1ncn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)n1,CHEMBL204499,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)nn1,CHEMBL203308,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
NC(=O)c1cn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)cn1,CHEMBL381539,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
Nc1nc(O)c2[nH]cc([C@@H]3C=C(CO)[C@@H](O)[C@H]3O)c2n1,CHEMBL225045,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
O=c1[nH]cc([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,CHEMBL224363,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
Nc1nc(=O)c([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c[nH]1,CHEMBL225046,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)[C@H](O)[C@@H]1O,CHEMBL397974,IC50,nM,48700.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,48.7
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,CHEMBL245019,IC50,nM,13500.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,13.5
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,CHEMBL1643,IC50,nM,82000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,82.0
OCC1C(COCc2ccccc2)CC1n1cnc2c(Cl)ncnc21,CHEMBL243757,IC50,nM,14500.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,14.5
OCC1CC(n2cnc3c(Cl)ncnc32)C1CO,CHEMBL388704,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
OCC(CCn1cnc2c(Cl)ncnc21)COCc1ccccc1,CHEMBL244381,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
OCC(CO)CCn1cnc2c(Cl)ncnc21,CHEMBL388932,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
OC[C@@H]1C[C@@H](O)[C@H](n2cnc3c(Cl)ncnc32)O1,CHEMBL244380,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
OC[C@H]1O[C@@H](n2cnc3c(Cl)ncnc32)C[C@@H]1O,CHEMBL244379,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
Nc1nc(Cl)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,CHEMBL244169,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
CSc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL388931,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
COc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL244168,IC50,nM,300000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,300.0
O[C@@H]1[C@@H](COCc2ccccc2)O[C@@H](n2cnc3c(Cl)ncnc32)[C@@H]1O,CHEMBL245013,IC50,nM,108000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,108.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL235873,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL397154,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,CHEMBL238217,IC50,nM,75000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,75.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL196635,IC50,nM,70000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,70.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,CHEMBL194398,IC50,nM,45000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,45.0
CC(=O)N1Cc2ccccc2C[C@H]1C(=O)Oc1cncc(Cl)c1,CHEMBL490210,IC50,nM,140.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.14
CC(C)(C)OC(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)Oc3cncc(Cl)c3)C(C)(C)S[C@H]12,CHEMBL490209,IC50,nM,100000.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,100.0
O=C(Oc1cncc(Cl)c1)c1cccc2cc[nH]c12,CHEMBL490822,IC50,nM,80.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.08
CC(=O)n1ccc2c(C(=O)Oc3cncc(Cl)c3)cccc21,CHEMBL490821,IC50,nM,1080.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,1.08
O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12,CHEMBL490820,IC50,nM,30.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.03
O=C(Oc1cncc(Cl)c1)c1ccc2cc[nH]c2c1,CHEMBL496179,IC50,nM,230.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.23
O=C(Oc1cncc(Cl)c1)c1ccc2c(ccn2S(=O)(=O)c2cccc([N+](=O)[O-])c2)c1,CHEMBL496316,IC50,nM,89.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.08900000000000001
Cc1ccc(S(=O)(=O)n2ccc3cc(C(=O)Oc4cncc(Cl)c4)ccc32)cc1,CHEMBL497351,IC50,nM,370.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.37
CC(=O)n1ccc2cc(C(=O)Oc3cncc(Cl)c3)ccc21,CHEMBL497143,IC50,nM,400.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.4
O=C(Oc1cncc(Cl)c1)c1ccc2[nH]ccc2c1,CHEMBL510559,IC50,nM,310.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.31
O=C(On1nnc2ccccc21)c1ccc2[nH]ccc2c1,CHEMBL497141,IC50,nM,200.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,0.2
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL1651956,IC50,nM,7700.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,7.7
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL160,IC50,nM,8300.0,CHEMBL612575,SARS coronavirus,SARS coronavirus,IC50,uM,8.3
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(CC)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL1651956,IC50,nM,2200.0,CHEMBL612744,Feline coronavirus,Feline coronavirus,IC50,uM,2.2
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,CHEMBL160,IC50,nM,1500.0,CHEMBL612744,Feline coronavirus,Feline coronavirus,IC50,uM,1.5
Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,CHEMBL187579,IC50,nM,7200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,7.2
O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,CHEMBL188487,IC50,nM,9400.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,9.4
O=C1C(=O)N(CC2COc3ccccc3O2)c2ccc(I)cc21,CHEMBL185698,IC50,nM,13500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,13.5
O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccccc21,CHEMBL426082,IC50,nM,13110.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,13.11
O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],CHEMBL187717,IC50,nM,2000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,2.0
O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,CHEMBL365134,IC50,nM,980.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.98
O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,CHEMBL187598,IC50,nM,4820.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,4.82
O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,CHEMBL190743,IC50,nM,950.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.95
O=C1C(=O)N(Cc2cc3ccccc3s2)c2cccc(Cl)c21,CHEMBL365469,IC50,nM,11200.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,11.2
O=C1C(=O)N(C/C=C/c2cc3ccccc3s2)c2ccc(I)cc21,CHEMBL188983,IC50,nM,23500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,23.5
O=C(Nc1ccc(Cl)cc1)c1ccc(CN2C(=O)C(=O)c3cc(I)ccc32)s1,CHEMBL191575,IC50,nM,12570.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,12.57
O=C1C(=O)N(Cc2ccc(C(=O)N3CCCCC3)s2)c2ccc(I)cc21,CHEMBL370923,IC50,nM,17500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,17.5
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,CHEMBL194398,IC50,nM,45000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,45.0
CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,CHEMBL196635,IC50,nM,70000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,70.0
CCCCN1C(=O)C(=O)c2cc(I)ccc21,CHEMBL209287,IC50,nM,66000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,66.0
NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,CHEMBL358279,IC50,nM,370.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,0.37
NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,CHEMBL348660,IC50,nM,12500.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,12.5
CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,CHEMBL379727,IC50,nM,19000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,19.0
CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,CHEMBL210525,IC50,nM,25000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,25.0
CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,CHEMBL148483,IC50,nM,71000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,71.0
O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,CHEMBL383725,IC50,nM,1100.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,1.1
O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,CHEMBL118596,IC50,nM,50000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,50.0
O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,CHEMBL208732,IC50,nM,3000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,3.0
COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,CHEMBL210146,IC50,nM,300000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,300.0
CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,CHEMBL207458,IC50,nM,250000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,250.0
COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,CHEMBL207484,IC50,nM,200000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,200.0
Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,CHEMBL207207,IC50,nM,100000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,100.0
CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,CHEMBL210487,IC50,nM,60000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,60.0
COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,CHEMBL380470,IC50,nM,45000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,45.0
CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,CHEMBL210612,IC50,nM,40000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,40.0
O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,CHEMBL209667,IC50,nM,15000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,15.0
O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,CHEMBL210097,IC50,nM,15000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,15.0
CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,CHEMBL378674,IC50,nM,12000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,12.0
Cc1nc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc(O)c1C,CHEMBL210216,IC50,nM,1000000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,1000.0
Cc1cc(C(F)(F)F)nc(SCC(=O)Nc2ccc(Cl)cc2F)n1,CHEMBL210195,IC50,nM,500000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,500.0
COc1ccc(-c2ccnc(SCC(=O)Nc3ccc(C(C)C)cc3)n2)cc1,CHEMBL210437,IC50,nM,400000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,400.0
CC(C)(C)c1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)cc1,CHEMBL378677,IC50,nM,350000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,350.0
CC(Sc1nc(O)c(C#N)c(-c2ccccc2)n1)C(=O)Nc1ccc(Cl)cc1,CHEMBL210972,IC50,nM,300000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,300.0
CCOc1ccc(N2C(=O)CC(Sc3nc(C)cc(C)n3)C2=O)cc1,CHEMBL210145,IC50,nM,300000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,300.0
N#Cc1c(O)nc(SCC(=O)Nc2cccc(C(F)(F)F)c2)nc1-c1ccccc1,CHEMBL377225,IC50,nM,200000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,200.0
CCCCc1ccc(NC(=O)CSc2nc(O)c(C#N)c(C3CCCCC3)n2)c(C)c1,CHEMBL210823,IC50,nM,200000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,200.0
CC(C)c1ccc(NC(=O)CSc2nccc(-c3csc(COc4ccccc4Cl)n3)n2)cc1,CHEMBL207381,IC50,nM,200000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,200.0
Cc1cc(O)nc(SCC(=O)Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,CHEMBL210511,IC50,nM,200000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,200.0
COc1cccc(-c2nc(SCC(=O)Nc3ccc(C(C)=O)cc3)nc(O)c2C#N)c1,CHEMBL210632,IC50,nM,60000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,60.0
COc1cccc(-c2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)nc(O)c2C#N)c1,CHEMBL210497,IC50,nM,40000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,40.0
CCCc1cc(O)nc(SCC(=O)Nc2ccc(Cl)cc2)n1,CHEMBL208584,IC50,nM,30000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,30.0
O=C(CSc1nccc(-c2cc(-c3ccccc3)no2)n1)Nc1ccc(Cl)cc1,CHEMBL208763,IC50,nM,15000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,15.0
Cc1nc(-c2nc(-c3ccnc(SCC(=O)Nc4ccc(Cl)cc4)n3)cs2)cs1,CHEMBL209227,IC50,nM,14000.0,CHEMBL3927,SARS coronavirus,SARS coronavirus 3C-like proteinase,IC50,uM,14.0
